u,d,s
102.0,2018-11-18,6264
102.0,2018-11-18,5940
102.0,2018-11-18,7344
102.0,2018-11-18,7020
102.0,2018-11-18,8640
102.0,2018-11-18,15752
102.0,2018-11-18,6480
102.0,2018-11-18,7020
102.0,2018-11-18,6580
102.0,2018-11-18,8640
102.0,2018-11-18,200000
102.0,2018-11-18,6804
102.0,2018-11-18,6480
33.0,2018-11-18,0
102.0,2018-11-19,3780
102.0,2018-11-19,0
102.0,2018-11-19,7560
102.0,2018-11-19,7560
33.0,2018-11-30,21332
33.0,2018-11-30,21332
33.0,2018-11-30,21332
33.0,2018-11-30,21332
33.0,2018-11-30,21221
33.0,2018-11-30,21221
33.0,2018-11-30,21221
33.0,2018-11-30,21221
33.0,2018-11-30,21210
33.0,2018-11-30,21210
33.0,2018-11-30,21210
33.0,2018-11-30,21210
102.0,2018-11-19,9936
102.0,2018-11-19,6800
102.0,2018-11-19,8640
102.0,2018-11-19,7560
102.0,2018-11-19,7000
102.0,2018-11-19,6912
102.0,2018-11-19,0
102.0,2018-11-19,3000
33.0,2018-11-19,0
33.0,2018-11-19,0
102.0,2018-11-19,10152
102.0,2018-11-19,2160
102.0,2018-11-20,18360
102.0,2018-11-20,3500
102.0,2018-11-20,9288
102.0,2018-11-20,6480
102.0,2018-11-21,0
102.0,2018-11-21,8000
102.0,2018-11-21,0
102.0,2018-11-21,14256
102.0,2018-11-22,12312
102.0,2018-11-22,6800
102.0,2018-11-22,6480
33.0,2018-11-22,0
33.0,2018-11-22,7054
33.0,2018-11-22,7276
102.0,2018-11-22,12328
102.0,2018-11-22,12276
33.0,2018-11-22,7490
33.0,2018-11-22,7800
102.0,2018-11-23,8640
102.0,2018-11-23,6800
102.0,2018-11-23,3780
102.0,2018-11-23,8440
33.0,2018-11-23,0
102.0,2018-11-23,12140
33.0,2018-11-23,26990
102.0,2018-11-23,2700
102.0,2018-11-23,4104
102.0,2018-11-23,5832
33.0,2018-11-23,10400
102.0,2018-11-23,7776
33.0,2018-11-23,0
33.0,2018-11-23,472
33.0,2018-11-23,0
33.0,2018-11-23,0
33.0,2018-11-23,0
33.0,2018-11-24,668
33.0,2018-11-24,2300
33.0,2018-11-24,0
102.0,2018-11-24,0
102.0,2018-11-24,6500
102.0,2018-11-24,7452
102.0,2018-11-24,3240
102.0,2018-11-24,9412
102.0,2018-11-24,5832
102.0,2018-11-24,4500
102.0,2018-11-24,4000
102.0,2018-11-24,7776
102.0,2018-11-24,3500
33.0,2018-11-25,0
33.0,2018-11-25,12900
102.0,2018-11-26,6480
102.0,2018-11-26,6756
102.0,2018-11-26,144500
102.0,2018-11-26,140540
102.0,2018-11-26,13464
102.0,2018-11-26,9504
33.0,2018-11-26,12100
33.0,2018-11-26,55100
33.0,2018-11-26,9100
33.0,2018-11-26,52100
33.0,2018-11-26,22000
33.0,2018-11-26,65000
33.0,2018-11-26,19000
33.0,2018-11-26,62000
102.0,2018-11-26,7776
102.0,2018-11-26,7800
102.0,2018-11-26,3500
102.0,2018-11-26,7776
33.0,2018-11-26,4000
102.0,2018-11-26,3500
33.0,2018-11-27,300
33.0,2018-11-27,7010
33.0,2018-11-27,7020
33.0,2018-11-27,2020
33.0,2018-11-27,2020
33.0,2018-11-27,15020
33.0,2018-11-27,7035
33.0,2018-11-27,2035
33.0,2018-11-27,2035
33.0,2018-11-27,15035
33.0,2018-11-27,8000
33.0,2018-11-27,3000
33.0,2018-11-27,3000
33.0,2018-11-27,16000
102.0,2018-07-20,140000
102.0,2018-08-29,1
102.0,2018-11-28,4900
102.0,2018-11-28,4000
102.0,2018-11-28,6800
102.0,2018-11-28,8040
102.0,2018-11-28,0
102.0,2018-11-28,6264
102.0,2018-11-28,4900
102.0,2018-11-28,6800
33.0,2018-11-28,0
33.0,2018-11-28,10401
102.0,2018-11-28,8964
102.0,2018-11-28,4000
102.0,2018-11-28,8640
102.0,2018-11-28,7400
102.0,2018-11-28,6998
102.0,2018-11-28,11340
102.0,2018-11-28,5400
102.0,2018-11-28,3240
102.0,2018-11-29,7020
102.0,2018-11-29,3780
102.0,2018-11-29,23220
102.0,2018-11-29,6400
102.0,2018-11-29,3240
33.0,2018-11-29,0
33.0,2018-11-29,3434
102.0,2018-11-29,11880
102.0,2018-11-29,0
33.0,2018-11-29,0
102.0,2018-11-29,7560
33.0,2018-09-03,11100
33.0,2018-09-03,11100
102.0,2018-11-29,0
102.0,2018-11-30,6480
102.0,2018-11-30,6480
102.0,2018-11-30,2700
102.0,2018-11-30,6912
102.0,2018-11-30,7776
102.0,2018-12-01,8640
102.0,2018-12-01,7776
102.0,2018-12-01,8640
102.0,2018-07-27,140000
102.0,2018-12-01,0
102.0,2018-12-01,7200
102.0,2018-12-01,8640
102.0,2018-12-01,5660
102.0,2018-12-01,3000
102.0,2018-12-02,8640
102.0,2018-12-02,6440
102.0,2018-12-02,6480
102.0,2018-12-02,8000
102.0,2018-12-02,4800
102.0,2018-12-02,8300
102.0,2018-12-02,2160
102.0,2018-12-02,6260
102.0,2018-12-02,7560
102.0,2018-12-02,3500
102.0,2018-12-02,3500
102.0,2018-12-03,4624
33.0,2018-12-03,12423
33.0,2018-12-03,12423
102.0,2018-12-03,4500
102.0,2018-12-03,3000
102.0,2018-12-03,13392
102.0,2018-12-03,0
33.0,2018-12-04,65000
33.0,2018-12-04,75000
33.0,2018-12-04,670
102.0,2018-12-05,8640
102.0,2018-12-05,8300
33.0,2018-12-05,2122
33.0,2018-12-05,7122
33.0,2018-12-05,10122
33.0,2018-12-05,3000
33.0,2018-12-05,8000
33.0,2018-12-05,11000
102.0,2018-12-05,4500
102.0,2018-12-05,8640
102.0,2018-12-05,4900
102.0,2018-12-05,5880
33.0,2018-12-05,0
102.0,2018-12-05,8640
102.0,2018-12-05,8300
102.0,2018-12-06,8100
102.0,2018-12-06,3500
102.0,2018-12-06,6156
102.0,2018-12-06,5800
102.0,2018-12-06,2440
102.0,2018-12-06,6804
102.0,2018-12-06,4860
102.0,2018-12-07,8340
102.0,2018-12-07,0
102.0,2018-12-08,4300
102.0,2018-12-08,8640
102.0,2018-12-08,4800
102.0,2018-12-08,8640
102.0,2018-12-08,11340
102.0,2018-12-08,4900
102.0,2018-12-08,4300
102.0,2018-12-08,0
102.0,2018-12-08,8300
102.0,2018-12-08,9504
102.0,2018-12-08,8100
102.0,2018-12-08,5832
102.0,2018-12-07,7290
102.0,2018-12-09,18360
102.0,2018-12-09,6480
102.0,2018-12-09,6372
102.0,2018-12-09,8424
102.0,2018-12-10,8640
102.0,2018-12-10,8640
102.0,2018-12-10,7776
102.0,2018-12-10,10800
33.0,2018-12-10,15800
33.0,2018-12-10,15800
33.0,2018-12-10,10800
33.0,2018-12-10,55800
33.0,2018-12-10,13200
33.0,2018-12-10,13200
33.0,2018-12-10,8200
33.0,2018-12-10,53200
33.0,2018-12-10,16200
33.0,2018-12-10,16200
33.0,2018-12-10,11200
33.0,2018-12-10,56200
33.0,2018-12-10,12436
33.0,2018-12-10,12436
33.0,2018-12-10,7436
33.0,2018-12-10,52436
33.0,2018-12-10,16600
33.0,2018-12-10,16600
33.0,2018-12-10,11600
33.0,2018-12-10,56600
33.0,2018-12-10,14000
33.0,2018-12-10,14000
33.0,2018-12-10,9000
33.0,2018-12-10,54000
33.0,2018-12-10,17000
33.0,2018-12-10,17000
33.0,2018-12-10,12000
33.0,2018-12-10,57000
33.0,2018-12-10,13236
33.0,2018-12-10,13236
33.0,2018-12-10,8236
33.0,2018-12-10,53236
33.0,2018-12-10,15931
33.0,2018-12-10,15931
33.0,2018-12-10,10931
33.0,2018-12-10,55931
33.0,2018-12-10,13331
33.0,2018-12-10,13331
33.0,2018-12-10,8331
33.0,2018-12-10,53331
33.0,2018-12-10,16331
33.0,2018-12-10,16331
33.0,2018-12-10,11331
33.0,2018-12-10,56331
33.0,2018-12-10,12567
33.0,2018-12-10,12567
33.0,2018-12-10,7567
33.0,2018-12-10,52567
102.0,2018-12-10,8300
102.0,2018-12-10,7676
33.0,2018-12-10,0
33.0,2018-12-10,65000
33.0,2018-12-10,65000
33.0,2018-12-10,65000
33.0,2018-12-10,20000
33.0,2018-12-10,65000
33.0,2018-12-10,65000
33.0,2018-12-10,65000
33.0,2018-12-10,20000
33.0,2018-12-10,70000
33.0,2018-12-10,70000
33.0,2018-12-10,70000
33.0,2018-12-10,25000
33.0,2018-12-10,70000
33.0,2018-12-10,70000
33.0,2018-12-10,70000
33.0,2018-12-10,25000
33.0,2018-12-10,65000
33.0,2018-12-10,65000
33.0,2018-12-10,85000
33.0,2018-12-11,29100
33.0,2018-12-11,32600
33.0,2018-12-11,27111
33.0,2018-12-11,27111
33.0,2018-12-11,27100
102.0,2018-12-11,4900
102.0,2018-12-11,0
102.0,2018-12-11,10160
102.0,2018-12-11,6480
102.0,2018-12-11,6804
102.0,2018-12-11,8640
102.0,2018-12-11,16200
102.0,2018-12-11,17844
102.0,2018-12-11,3500
102.0,2018-12-12,6480
102.0,2018-12-12,7560
102.0,2018-12-12,4500
102.0,2018-12-12,7776
102.0,2018-12-12,3780
102.0,2018-12-12,8300
102.0,2018-07-20,270000
102.0,2018-08-20,1
102.0,2018-12-13,18360
102.0,2018-12-13,7776
102.0,2018-12-13,2700
102.0,2018-12-13,7020
102.0,2018-12-13,5832
102.0,2018-12-14,8640
102.0,2018-12-14,5800
102.0,2018-12-14,8640
102.0,2018-12-14,7160
102.0,2018-12-14,6480
102.0,2018-12-14,10260
102.0,2018-12-14,7280
102.0,2018-12-14,8640
102.0,2018-12-14,7800
102.0,2018-12-15,6480
102.0,2018-12-15,6480
102.0,2018-12-15,6480
102.0,2018-12-15,6480
102.0,2018-12-15,8640
102.0,2018-12-15,6480
102.0,2018-12-15,9180
102.0,2018-12-17,9720
102.0,2018-12-17,7884
102.0,2018-12-17,4900
102.0,2018-12-17,6280
102.0,2018-12-17,4900
102.0,2018-12-17,7800
102.0,2018-12-17,7560
102.0,2018-12-17,8000
102.0,2018-12-17,8000
102.0,2018-12-19,8624
102.0,2018-12-19,6400
102.0,2018-12-19,6480
102.0,2018-12-19,0
102.0,2018-12-19,8300
102.0,2018-12-19,1512
102.0,2018-12-19,7800
102.0,2018-12-19,8640
102.0,2018-12-19,0
102.0,2018-12-20,8100
102.0,2018-12-20,7020
102.0,2018-12-20,8640
102.0,2018-12-20,16320
102.0,2018-12-20,540
102.0,2018-12-20,8300
102.0,2018-12-20,3300
102.0,2018-12-20,7800
102.0,2018-12-20,5780
102.0,2018-12-20,11340
102.0,2018-12-20,8040
102.0,2018-12-21,10260
102.0,2018-12-21,3780
102.0,2018-12-21,8640
102.0,2018-12-21,3500
102.0,2018-12-21,10160
33.0,2018-12-21,7000
102.0,2018-12-21,7600
102.0,2018-12-21,6912
102.0,2018-12-21,8640
102.0,2018-12-21,3500
102.0,2018-12-22,1296
102.0,2018-12-22,3780
102.0,2018-12-22,8748
102.0,2018-12-22,6804
102.0,2018-12-22,6000
102.0,2018-12-22,0
102.0,2018-12-22,4500
102.0,2018-12-22,6804
102.0,2018-12-22,7776
102.0,2018-12-22,4800
102.0,2018-12-22,3500
102.0,2018-12-22,9380
102.0,2018-12-22,12960
102.0,2018-12-23,0
102.0,2018-12-23,7560
102.0,2018-12-23,5300
102.0,2018-12-23,8640
102.0,2018-12-23,4900
102.0,2018-12-23,6480
102.0,2018-12-23,3500
102.0,2018-12-23,7452
102.0,2018-12-23,6480
102.0,2018-12-23,3500
102.0,2018-12-23,7448
102.0,2018-12-23,10260
102.0,2018-12-23,5500
102.0,2018-12-24,3500
102.0,2018-12-24,0
102.0,2018-12-24,3500
102.0,2018-12-24,3500
102.0,2018-12-24,10368
102.0,2018-12-24,5000
102.0,2018-12-24,3000
102.0,2018-12-24,5200
102.0,2018-12-24,8840
102.0,2018-12-24,8100
102.0,2018-12-24,8300
102.0,2018-12-24,6480
33.0,2018-12-25,5000
33.0,2018-12-25,19553
33.0,2018-12-25,0
102.0,2018-12-26,7560
33.0,2018-12-26,0
102.0,2018-12-26,9288
102.0,2018-12-26,6480
102.0,2018-12-26,3500
102.0,2018-12-26,8640
102.0,2018-12-26,5832
102.0,2018-12-26,6480
102.0,2018-12-26,2740
102.0,2018-12-26,8640
102.0,2018-12-26,9180
102.0,2018-12-26,7776
102.0,2018-12-26,7840
102.0,2018-12-27,4900
102.0,2018-12-27,6912
102.0,2018-12-27,5832
102.0,2018-12-27,8208
102.0,2018-12-27,3500
102.0,2018-12-27,7776
102.0,2018-12-27,6804
102.0,2018-12-27,5832
102.0,2018-12-27,7776
102.0,2018-12-27,7236
102.0,2018-12-27,5832
102.0,2018-12-28,4752
33.0,2018-12-28,0
33.0,2018-12-28,0
102.0,2018-12-28,4680
102.0,2018-12-28,7776
102.0,2018-12-28,4500
102.0,2018-12-28,3500
102.0,2018-12-28,6480
102.0,2018-12-28,12120
102.0,2018-12-28,7776
102.0,2018-12-28,8640
102.0,2018-12-29,6480
102.0,2018-12-29,16020
102.0,2018-12-29,8640
102.0,2018-12-29,3500
102.0,2018-12-29,7776
102.0,2018-12-29,6912
102.0,2018-12-29,3500
102.0,2018-12-29,3000
102.0,2018-12-29,7560
102.0,2018-12-29,12960
102.0,2018-12-29,10368
33.0,2018-12-29,0
102.0,2018-12-30,0
102.0,2018-12-30,5300
102.0,2018-12-30,0
102.0,2018-12-30,4800
102.0,2018-12-30,6380
102.0,2018-12-30,8300
102.0,2018-12-30,5000
33.0,2018-12-30,513000
33.0,2018-12-30,513000
33.0,2018-12-30,513000
33.0,2018-12-30,513000
33.0,2018-12-30,513000
33.0,2018-12-30,513000
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,503222
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,501100
33.0,2018-12-30,502000
33.0,2018-12-30,502000
33.0,2018-12-30,502000
33.0,2018-12-30,502000
33.0,2018-12-30,502000
33.0,2018-12-30,502000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,515000
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,505222
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,503100
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,504000
33.0,2018-12-30,514000
33.0,2018-12-30,514000
33.0,2018-12-30,514000
33.0,2018-12-30,514000
33.0,2018-12-30,514000
33.0,2018-12-30,514000
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,504222
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,502100
33.0,2018-12-30,503000
33.0,2018-12-30,503000
33.0,2018-12-30,503000
33.0,2018-12-30,503000
33.0,2018-12-30,503000
33.0,2018-12-30,503000
102.0,2018-12-30,0
102.0,2018-12-30,6400
102.0,2018-12-30,0
102.0,2018-12-30,5660
102.0,2018-12-31,0
102.0,2018-12-31,4900
102.0,2018-12-31,3500
102.0,2018-12-31,6480
102.0,2018-12-31,7040
102.0,2018-12-31,9936
102.0,2018-12-31,4500
102.0,2018-12-31,3500
102.0,2018-12-31,8640
102.0,2018-12-31,8880
102.0,2018-12-31,8640
33.0,2019-01-02,0
33.0,2019-01-02,2318
33.0,2019-01-03,51236
102.0,2019-01-04,7260
102.0,2019-01-04,8640
102.0,2019-01-04,4380
102.0,2019-01-04,6480
102.0,2019-01-04,8640
102.0,2019-01-04,4800
33.0,2019-01-04,141000
102.0,2019-01-05,7600
102.0,2019-01-05,4300
102.0,2019-01-05,8640
102.0,2019-01-05,7340
102.0,2019-01-05,5832
102.0,2019-01-05,5832
102.0,2019-01-06,2160
102.0,2019-01-06,6800
102.0,2019-01-06,8324
102.0,2019-01-06,7776
102.0,2019-01-06,4200
102.0,2019-01-06,8640
102.0,2019-01-06,5740
102.0,2019-01-06,6812
102.0,2019-01-07,0
102.0,2019-01-07,7776
102.0,2019-01-07,12520
102.0,2019-01-07,6480
102.0,2019-01-07,6480
102.0,2019-01-08,9272
102.0,2019-01-08,6480
102.0,2019-01-08,6480
102.0,2019-01-08,12960
102.0,2019-01-08,6480
102.0,2019-01-08,8964
102.0,2019-01-08,2160
102.0,2019-01-08,0
33.0,2019-01-09,0
102.0,2019-01-10,13284
102.0,2019-01-10,6400
33.0,2019-01-10,0
102.0,2019-01-10,3400
102.0,2019-01-10,7800
102.0,2019-01-10,2160
102.0,2019-01-10,19440
102.0,2019-01-11,8640
102.0,2019-01-11,4200
102.0,2019-01-11,3500
102.0,2019-01-11,6804
102.0,2019-01-11,7900
102.0,2019-01-11,6480
102.0,2019-01-11,6912
102.0,2019-01-11,5560
33.0,2018-01-11,500
33.0,2019-01-11,5633
33.0,2019-01-11,0
33.0,2019-01-11,0
33.0,2018-01-11,0
102.0,2019-01-12,6480
102.0,2019-01-12,5832
102.0,2019-01-12,0
102.0,2019-01-12,6300
102.0,2019-01-12,4500
102.0,2019-01-12,8000
102.0,2019-01-12,8040
102.0,2019-01-12,5832
102.0,2019-01-12,7500
102.0,2019-01-12,8300
102.0,2019-01-12,3500
102.0,2019-01-12,8300
102.0,2019-01-12,3000
102.0,2019-01-13,2500
102.0,2019-01-13,7020
102.0,2019-01-13,3500
102.0,2019-01-13,5832
102.0,2019-01-13,6032
102.0,2019-01-13,2160
102.0,2019-01-13,3500
102.0,2019-01-13,8640
102.0,2019-01-14,0
102.0,2019-01-13,8640
102.0,2019-01-13,6480
102.0,2019-01-14,7776
102.0,2019-01-14,5400
102.0,2019-01-14,7560
102.0,2019-01-14,6156
102.0,2019-01-14,4000
102.0,2019-01-14,5346
102.0,2019-01-14,6480
102.0,2019-01-14,3500
102.0,2019-01-14,2000
102.0,2019-01-15,6480
102.0,2019-01-15,8000
102.0,2019-01-15,11276
102.0,2019-01-15,10000
102.0,2019-01-15,8640
102.0,2019-01-16,4900
102.0,2019-01-16,6480
102.0,2019-01-16,3500
102.0,2019-01-16,4500
102.0,2019-01-16,8640
102.0,2019-01-16,7800
102.0,2019-01-16,8640
102.0,2019-01-16,7724
33.0,2019-01-16,2201
33.0,2019-01-16,2201
102.0,2019-01-17,8640
102.0,2019-01-17,9288
33.0,2018-12-11,0
102.0,2019-01-17,3500
33.0,2018-09-17,41331
102.0,2019-01-17,8640
102.0,2019-01-18,6480
102.0,2019-01-18,6480
102.0,2019-01-18,7776
102.0,2019-01-18,5832
102.0,2019-01-18,6480
102.0,2019-01-18,10800
102.0,2019-01-18,3240
102.0,2019-01-18,7800
102.0,2019-01-19,6480
102.0,2019-01-19,7560
102.0,2019-01-19,6400
102.0,2019-01-19,7776
102.0,2019-01-19,8840
102.0,2019-01-19,5940
102.0,2019-01-19,7776
102.0,2019-01-19,7776
102.0,2019-01-19,3000
102.0,2019-01-19,7560
102.0,2019-01-19,6480
102.0,2019-01-21,8664
102.0,2019-01-21,8640
102.0,2019-01-21,7776
102.0,2019-01-21,6700
102.0,2019-01-21,15120
102.0,2019-01-21,8640
102.0,2019-01-21,10800
102.0,2019-01-22,7264
102.0,2019-01-22,6164
102.0,2019-01-22,3780
102.0,2019-01-22,8640
102.0,2019-01-22,3500
102.0,2019-01-22,3500
102.0,2019-01-22,2900
33.0,2019-01-22,7000
33.0,2019-01-22,5700
33.0,2019-01-22,2000
102.0,2019-01-23,8640
102.0,2019-01-23,0
102.0,2019-01-23,0
33.0,2019-01-23,0
102.0,2019-01-23,6304
33.0,2019-01-23,0
102.0,2019-01-23,6480
102.0,2019-01-24,11448
102.0,2019-01-24,6480
33.0,2019-01-24,0
102.0,2019-01-24,2160
102.0,2019-01-24,6696
33.0,2019-01-24,0
33.0,2019-01-25,0
33.0,2019-01-25,0
33.0,2019-01-25,0
122.0,2019-01-25,0
33.0,2019-01-25,0
33.0,2019-01-25,0
102.0,2019-01-25,14580
102.0,2019-01-25,6480
102.0,2019-01-25,6928
102.0,2019-01-25,6480
102.0,2019-01-25,5300
33.0,2019-01-25,0
33.0,2019-01-25,0
102.0,2019-01-26,3564
102.0,2019-01-26,5832
102.0,2019-01-26,5980
102.0,2019-01-26,9260
102.0,2019-01-26,1800
102.0,2019-01-26,6580
102.0,2019-01-26,1000
102.0,2019-01-26,9104
102.0,2019-01-26,4900
102.0,2019-01-26,8300
102.0,2019-01-26,8640
102.0,2019-01-27,4120
102.0,2019-01-27,0
102.0,2019-01-27,8840
102.0,2019-01-27,11340
102.0,2019-01-27,12140
102.0,2019-01-28,0
102.0,2019-01-28,6800
102.0,2019-01-28,14040
102.0,2019-01-28,6480
102.0,2019-01-28,2500
102.0,2019-01-28,6000
102.0,2019-01-28,5800
102.0,2019-01-28,0
102.0,2019-01-28,2000
102.0,2019-01-29,6400
122.0,2019-01-29,0
102.0,2019-01-29,7556
102.0,2019-01-29,3500
102.0,2019-01-29,6480
102.0,2019-01-29,2700
102.0,2019-01-29,3500
33.0,2019-01-29,200
102.0,2019-01-29,8000
102.0,2019-01-30,8960
102.0,2019-01-30,8640
102.0,2019-01-30,4300
102.0,2019-01-30,7560
102.0,2019-01-30,6300
102.0,2019-01-30,8640
102.0,2019-01-29,7776
102.0,2019-02-01,0
102.0,2019-02-01,6156
33.0,2019-02-01,0
33.0,2019-02-01,40000
33.0,2019-02-01,12000
33.0,2019-02-01,50000
102.0,2019-02-01,6480
102.0,2019-02-01,4900
102.0,2019-02-01,8548
102.0,2019-02-01,2160
102.0,2019-02-01,6912
102.0,2019-02-01,8640
102.0,2019-02-01,12312
102.0,2019-02-02,10800
102.0,2019-02-02,6232
102.0,2019-02-02,6300
102.0,2019-02-02,0
102.0,2019-02-02,7000
102.0,2019-02-02,5832
102.0,2019-02-02,3500
102.0,2019-02-02,6032
102.0,2019-02-02,3500
102.0,2019-02-02,0
102.0,2019-02-02,7776
102.0,2019-02-02,5000
102.0,2019-02-02,8640
102.0,2019-02-02,3500
33.0,2019-02-03,182072
33.0,2019-02-03,194306
33.0,2019-02-03,182072
33.0,2019-02-03,231961
33.0,2019-02-03,6988
33.0,2019-02-03,19222
33.0,2019-02-03,6988
33.0,2019-02-03,56877
33.0,2019-02-03,735947
33.0,2019-02-03,748181
33.0,2019-02-03,735947
33.0,2019-02-03,785836
33.0,2019-02-03,560863
33.0,2019-02-03,573097
33.0,2019-02-03,560863
33.0,2019-02-03,610752
102.0,2019-02-04,7160
102.0,2019-02-04,6480
102.0,2019-02-04,4280
102.0,2019-02-04,4000
33.0,2019-02-04,0
33.0,2019-02-04,0
102.0,2019-02-04,7800
33.0,2019-02-04,10
102.0,2019-02-04,6400
102.0,2019-02-04,6480
102.0,2019-02-04,6400
102.0,2019-02-05,7000
102.0,2019-02-05,8688
102.0,2019-02-05,7236
102.0,2019-02-05,0
102.0,2019-02-05,8640
33.0,2019-02-05,0
102.0,2019-02-05,7992
102.0,2019-02-05,3500
102.0,2019-02-05,6480
102.0,2019-02-05,10000
102.0,2019-02-05,8300
102.0,2019-02-05,2000
102.0,2019-02-06,7560
33.0,2019-02-06,0
102.0,2019-02-06,5100
102.0,2019-02-06,0
33.0,2019-02-06,0
33.0,2019-02-06,1200
102.0,2019-02-06,6608
102.0,2019-02-06,8640
102.0,2019-02-06,12140
33.0,2019-02-07,0
102.0,2019-02-07,0
102.0,2019-02-07,9288
102.0,2019-02-07,8640
102.0,2019-02-07,4900
102.0,2019-02-08,6132
102.0,2019-02-08,8532
102.0,2019-02-08,3000
102.0,2019-02-08,6480
102.0,2019-02-08,7564
102.0,2019-02-08,4800
102.0,2019-02-08,5000
102.0,2019-02-08,7560
102.0,2019-02-08,8340
102.0,2019-02-08,6480
102.0,2019-02-09,9720
102.0,2019-02-09,4700
102.0,2019-02-09,3500
102.0,2019-02-09,7776
102.0,2019-02-09,5880
102.0,2019-02-09,6300
102.0,2019-02-09,8300
102.0,2019-02-09,7560
102.0,2019-02-09,7603
102.0,2019-02-09,6500
102.0,2019-02-09,8424
102.0,2019-02-09,8640
102.0,2019-02-09,3500
102.0,2019-02-09,9504
102.0,2019-02-09,3000
102.0,2019-02-11,6920
102.0,2019-02-11,6800
102.0,2019-02-11,8640
102.0,2019-02-11,5728
102.0,2019-02-11,0
102.0,2019-02-11,6480
102.0,2019-02-11,6600
102.0,2019-02-11,8640
102.0,2019-02-11,7676
102.0,2019-02-11,8300
102.0,2019-02-12,6480
102.0,2019-02-12,0
102.0,2019-02-12,7880
33.0,2019-02-12,43434
102.0,2019-02-12,5380
102.0,2019-02-12,8000
